************************************************************************
file with basedata            : EXPL5.BAS
initial value random generator: 1976449542
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  20
horizon                       :  99
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     18      0       50       17       50
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   1        1          1           2
   2        1          3           3   4   5
   3        1          2          13  17
   4        1          2          10  16
   5        1          1           6
   6        1          3           7   8  16
   7        1          3           9  11  12
   8        1          3          10  12  14
   9        1          2          10  15
  10        1          1          13
  11        1          1          19
  12        1          1          15
  13        1          1          18
  14        1          1          17
  15        1          1          17
  16        1          1          18
  17        1          1          18
  18        1          1          19
  19        1          1          20
  20        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  N 1  N 2
------------------------------------------------------------------------
  1      1     0       0    0    0    0
  2      1     8       0    4    1    8
  3      1     1       6    0    6    6
  4      1     7       5    0    2    9
  5      1     1       5    0    4    1
  6      1     6       0    5    3    7
  7      1     7       0    1    6    8
  8      1     8       7    0    6    3
  9      1     9       0    9    5    4
 10      1     9       9    0    2    6
 11      1     2       6    0    4    3
 12      1     6       5    0    5    5
 13      1     3       0    2    6    4
 14      1     5       4    0    4    5
 15      1     4       6    0    6    6
 16      1    10       7    0    4    5
 17      1     6       0    5    6    4
 18      1     5       4    0    7    1
 19      1     2       5    0    8    5
 20      1     0       0    0    0    0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2  N 1  N 2
   12    9   85   90
************************************************************************
