************************************************************************
file with basedata            : EXPL5.BAS
initial value random generator: 852823923
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  20
horizon                       :  91
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     18      0       45        2       45
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   1        1          1           2
   2        1          3           3   4   5
   3        1          2           9  12
   4        1          2           7  16
   5        1          3           6   8  12
   6        1          1          15
   7        1          1          18
   8        1          2           9  10
   9        1          1          11
  10        1          2          13  14
  11        1          1          17
  12        1          1          14
  13        1          2          15  16
  14        1          1          19
  15        1          2          17  18
  16        1          2          17  18
  17        1          1          19
  18        1          1          19
  19        1          1          20
  20        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  N 1  N 2
------------------------------------------------------------------------
  1      1     0       0    0    0    0
  2      1     1       3    0    2    8
  3      1     4       7    0    6    8
  4      1     1       4    0    9    7
  5      1    10       0    6    4    6
  6      1     9       5    0    2    7
  7      1     4       0    5    4    7
  8      1     3       0    5    5    4
  9      1     8       0    2    2    9
 10      1     6       0    6    4    7
 11      1     3       5    0    2    8
 12      1     8       7    0    2    8
 13      1     6       0    9    4    2
 14      1     4       0    1    4    6
 15      1     8       0    7    7    7
 16      1     4       0    9    4    2
 17      1     1       0    9    6    4
 18      1     4       0    6    5   10
 19      1     7       0    9    2    3
 20      1     0       0    0    0    0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2  N 1  N 2
    8   10   74  113
************************************************************************
