************************************************************************
file with basedata            : EXPL6.BAS
initial value random generator: 777985645
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  24
horizon                       :  118
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     22      0       53       20       53
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   1        1          1           2
   2        1          3           3   4   5
   3        1          2           6  22
   4        1          2           6   7
   5        1          1           9
   6        1          1           8
   7        1          3          10  16  18
   8        1          2          13  14
   9        1          3          11  14  16
  10        1          2          11  21
  11        1          2          12  17
  12        1          1          20
  13        1          1          15
  14        1          1          18
  15        1          2          18  21
  16        1          2          20  21
  17        1          1          19
  18        1          1          23
  19        1          1          20
  20        1          1          22
  21        1          1          23
  22        1          1          23
  23        1          1          24
  24        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  N 1  N 2
------------------------------------------------------------------------
  1      1     0       0    0    0    0
  2      1     7       2    0    5    1
  3      1     6       0    5    7    2
  4      1     3       0    4    4    4
  5      1     8       0    9    5    6
  6      1     6       0    7    6    3
  7      1     4       4    0    3    6
  8      1     3       3    0    3    5
  9      1     6      10    0    8    7
 10      1     5       0    5    4    2
 11      1     9       6    0    9    6
 12      1     7       3    0    4    7
 13      1     9       0    4    8   10
 14      1     6      10    0    5    5
 15      1     4       0    7    8    9
 16      1     2       8    0    6    9
 17      1     8       0    4    4    3
 18      1     4       6    0    4    6
 19      1     2       8    0    6    9
 20      1     2       0    7    2    2
 21      1     6       0    5    7    6
 22      1     1       4    0    4    3
 23      1    10       0   10    3    7
 24      1     0       0    0    0    0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2  N 1  N 2
   13   12  115  118
************************************************************************
