************************************************************************
file with basedata            : ..\EXAMPLE\EXPL3.BAS
initial value random generator: 1414961800
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  20
horizon                       :  105
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     18      0       50       14       50
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   1        1          1           2
   2        1          3           3   6   8
   3        1          3           4  10  14
   4        1          3           5   7  16
   5        1          2           9  17
   6        1          1           9
   7        1          1          12
   8        1          2          11  12
   9        1          1          12
  10        1          2          11  13
  11        1          2          15  17
  12        1          1          18
  13        1          1          16
  14        1          2          15  17
  15        1          1          16
  16        1          1          18
  17        1          1          19
  18        1          1          19
  19        1          1          20
  20        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  N 1  N 2
------------------------------------------------------------------------
  1      1     0       0    0    0    0
  2      1     8       0   10    2   10
  3      1     5       5    0    2    7
  4      1     8       6    0    7    8
  5      1     8       3    0    7    4
  6      1     1       0    9    7    3
  7      1     5       0    8    7    8
  8      1     8       2    0    6   10
  9      1     3      10    0    3    9
 10      1     4       0    4    2    4
 11      1     7       0    1    5    8
 12      1    10       0    3    7    9
 13      1     7       3    0    4    9
 14      1     2       0    5    5    9
 15      1     8       0    3    5    3
 16      1     5       5    0    7    6
 17      1     8       0    8    6    2
 18      1     2       7    0    8    5
 19      1     6       2    0    5    2
 20      1     0       0    0    0    0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2  N 1  N 2
   10   10   95  116
************************************************************************
OVERCAPACITY COSTS:
1->0.5
2->0.5
MAX OVERCAPACITY:
1->5
2->5
