************************************************************************
file with basedata            : Modellendogen.txt
initial value random generator: 1660378164
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  32
horizon                       :  171
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     30      0       57       17       57
************************************************************************
PRECEDENCE RELATIONS:
jobnr.   #modes    #successors   successors
   1       1            3           2   3   4
   2       1            3           5   6   7
   3       1            3          11  12  15
   4       1            3           8  13  17
   5       1            3          10  14  23
   6       1            3           9  11  21
   7       1            2          13  24
   8       1            3          14  23  24
   9       1            3          10  15  18
  10       1            3          12  16  19
  11       1            3          19  23  26
  12       1            3          20  22  24
  13       1            3          18  20  21
  14       1            3          18  20  21
  15       1            2          17  28
  16       1            3          17  25  27
  17       1            2          29  32
  18       1            3          19  22  29
  19       1            2          25  27
  20       1            1          26
  21       1            2          22  26
  22       1            2          25  28
  23       1            2          30  32
  24       1            2          31  32
  25       1            2          30  32
  26       1            3          27  29  32
  27       1            3          28  31  32
  28       1            2          30  32
  29       1            2          31  32
  30       1            1          32
  31       1            1          32
  32       1            0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  N 1  N 2
------------------------------------------------------------------------
  1      1     0       0    0    0    0
  2      1     2       3    3    3    0
  3      1     5       4    7    5    0
  4      1     3       7    5    0    1
  5      1     5       5    7    3    0
  6      1     5       4    5    0    9
  7      1     3       8   10    9    0
  8      1     7       4    8    0    9
  9      1     3      10    8    0    6
 10      1     9      10    7    0    3
 11      1     3       8    8    0    4
 12      1     1       1    8    2    0
 13      1     9       7    2    0    5
 14      1     8       3    8    8    0
 15      1     2       4    7    0    5
 16      1     8       5    6    7    0
 17      1     9       3    8    8    0
 18      1     4       9    8    0    8
 19      1     3       1    5    0    8
 20      1     2       8    5    4    0
 21      1     9      10   10   10    0
 22      1     9       4    5    4    0
 23      1     5       2    2    0    3
 24      1     9       3    4    4    0
 25      1     8       5    9    9    0
 26      1     8       9   10    0    7
 27      1    10       6    1    0    7
 28      1    10       7    4    1    0
 29      1     7       4    5    2    0
 30      1     2       7    4    4    0
 31      1     3       6    8    5    0
 32      1     0       0    0    0    0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2  N 1  N 2
   16   17   66   56
************************************************************************
Entscheidungen                :  2
Nr.  Aktivierer  #Auswahl  Auszuw�hlende
 1        9         2      11  18
 2       20         2      27  30
************************************************************************
Bedingungen                   :  1
Nr.  Aktivierer  #Auswahl  Bedingte
 1       27         3      28  29  31
************************************************************************
OVERCAPACITY COSTS:
1->0.5
2->0.5
MAX OVERCAPACITY:
1->4
2->4
